molecule_chembl_id,canonical_smiles,standard_value
CHEMBL493153,Oc1ccc(CCNc2ncnc3ccc(Cl)cc23)cc1,710.0
CHEMBL493327,Clc1ccc2ncnc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,1070.0
CHEMBL500972,Oc1ccc(CCNc2ncnc3ccc(Br)cc23)cc1,1110.0
CHEMBL495005,CN1CCN(c2ncnc3ccc(Br)cc23)CC1,1310.0
CHEMBL494838,CCN1CCN(c2ncnc3ccc(Br)cc23)CC1,2210.0
CHEMBL509988,Brc1ccc2ncnc(N3CCNCC3)c2c1,2740.0
CHEMBL149800,Clc1ccc(CCNc2ncnc3ccc(Cl)cc23)cc1,3440.0
CHEMBL445226,CCN1CCN(c2ncnc3ccc(Cl)cc23)CC1,3630.0
CHEMBL494130,CCOC(=O)COc1ccc(CCNc2ncnc3ccc(Cl)cc23)cc1,4480.0
CHEMBL444229,CCN1CCN(c2ncnc3ccc(F)cc23)CC1,5260.0
CHEMBL494325,C=CCNc1ncnc2ccc(Br)cc12,5360.0
CHEMBL494326,Brc1ccc2ncnc(NCc3ccccc3)c2c1,6130.0
CHEMBL493348,Oc1ccc(CCNc2ncnc3ccc(F)cc23)cc1,6380.0
CHEMBL449571,CCCNc1ncnc2ccc(Br)cc12,8130.0
CHEMBL153483,Clc1ccc(CCNc2ncnc3ccccc23)cc1,10500.0
CHEMBL451222,CCN1CCN(c2ncnc3ccccc23)CC1,10000.0
CHEMBL493324,CN1CCN(c2ncnc3ccc(Cl)cc23)CC1,10000.0
CHEMBL489053,CN1CCN(c2ncnc3ccc(F)cc23)CC1,10000.0
CHEMBL506969,CN1CCN(c2ncnc3ccccc23)CC1,10000.0
CHEMBL442675,Fc1ccc2ncnc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,10000.0
CHEMBL493349,c1ccc2c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)ncnc2c1,10000.0
CHEMBL493350,Oc1ccc(CCNc2ncnc3ccccc23)cc1,15800.0
CHEMBL2333942,COC(=O)c1ccc(C(=O)Nc2nc3ccc(C(=O)Nc4ccccc4)cc3s2)cc1,1200.0
